"","Release_number","interview_id","State","Family_comp_change","Year","head_age","head_sex","wife_age","num_child","age_youngest_child","family_identifier","head_marital_status","hd_employ_status","hd_occ","hd_ind","hd_hrs_work_per_week","hd_wtr_unemployed","wtr_wf","wf_occ","wf_ind","wf_wtr_unemployed","hd_housework_hrs","wf_housework_hrs","hd_wage","wf_wage","hd_health","hd_weight","hd_height","wf_health","wf_weight","wf_height","wf_race","wf_wtr_hs","wf_wtr_college","wf_highest_yr_complete","wf_religion","hd_race","hd_wtr_hs","hd_wtr_college","hd_highest_yr_complete","hd_religion","hd_change_in_marital_status","hd_edu","wf_edu","hd_adj_income"
"11796",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11798",6,2522,48,0,2001,80,2,0,0,0,2920,4,4,0,0,0,0,3,0,0,0,0,70,0,0,3,100,3,0,0,0,0,0,0,0,0,1,3,5,0,8,2,5,0,0
"11799",6,3582,48,0,2001,44,1,32,0,0,2920,1,1,694,137,0,5,1,602,168,5,28,1,42000,32000,3,180,11,3,190,6,1,9,9,0,99,1,3,5,0,8,1,9,99,26978.6707804309
"11800",6,2523,48,0,2001,54,1,53,0,0,2920,1,4,0,0,0,0,1,231,667,5,20,10,0,24000,4,280,5,2,160,2,1,1,5,0,8,1,3,5,0,0,1,11,12,0
"11801",6,6692,48,0,2001,34,1,34,2,8,2920,1,1,706,379,0,5,1,364,889,5,20,20,35000,22500,2,160,10,2,145,10,1,1,5,0,8,1,3,5,0,8,1,11,12,22482.2256503591
"11802",6,5613,48,0,2001,27,1,0,0,0,2920,2,1,912,809,0,5,2,0,0,0,0,3,28000,0,3,178,11,0,0,0,0,0,0,0,0,1,2,5,0,8,2,11,0,17985.7805202873
"11803",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11804",6,6293,48,4,2001,31,1,26,0,0,2920,2,1,454,159,0,5,1,643,297,5,8,5,32000,16000,1,220,0,1,140,7,1,1,5,0,8,1,1,1,2,8,5,14,12,20555.1777374712
"11805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11806",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11807",6,2361,12,0,2001,51,2,0,0,0,2921,4,1,245,697,0,5,3,0,0,0,0,8,33000,0,2,180,6,0,0,0,0,0,0,0,0,2,2,5,0,8,2,9,0,21197.5270417671
"11808",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11809",6,5535,12,3,2001,35,2,0,2,11,2921,5,1,283,648,0,5,3,0,0,0,0,4,16000,0,1,189,11,0,0,0,0,0,0,0,0,2,1,1,2,0,3,14,0,10277.5888687356
"11810",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11811",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11812",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11813",6,3182,31,0,2001,65,1,60,0,0,2924,1,4,0,0,0,0,1,0,0,0,7,2,0,0,3,170,6,5,160,3,1,1,5,0,1,1,3,5,0,1,1,6,12,0
