"","Release_number","interview_id","State","Family_comp_change","hd_wage","wf_wage","family_identifier","head_age","head_sex","wife_age","num_child","age_youngest_child","head_marital_status","hd_employ_status","hd_occ","hd_ind","hd_wtr_unemployed","hd_hrs_work_per_week","hd_num_mrg","hd_race","hd_wtr_hs","hd_wtr_college","hd_highest_yr_complete","hd_religion","hd_housework_hrs","hd_health","wtr_wf","wf_occ","wf_ind","wf_wtr_unemployed","wf_race","wf_wtr_hs","wf_wtr_college","wf_highest_yr_complete","wf_religion","wf_housework_hrs","wf_health","hd_edu","wf_edu","hd_change_in_marital_status","Year","hd_adj_income"
"57",3,5242,12,0,0,8914,6,40,1,36,3,11,1,1,420,667,5,40,2,1,3,5,0,0,4,3,1,935,788,5,1,1,5,0,5,20,2,3,5,1,1985,0
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,NA
"59",3,214,34,0,0,0,7,68,1,59,0,0,1,4,0,0,0,0,1,1,3,5,0,9,2,2,1,0,0,0,1,3,5,0,9,20,4,2,2,1,1985,0
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,NA
"61",3,1506,34,0,0,0,7,30,1,31,3,8,1,3,0,0,0,0,1,1,1,5,0,9,0,3,1,925,839,1,1,1,5,0,9,36,3,4,5,1,1985,0
"62",3,213,34,0,250,0,7,29,2,0,4,4,4,1,942,778,5,16,1,1,3,5,0,9,56,3,3,0,0,0,0,0,0,0,0,0,0,3,0,2,1985,250
"63",3,503,34,0,0,0,7,27,1,28,2,1,1,5,0,0,0,0,1,1,3,5,0,9,20,4,1,0,0,0,1,3,5,0,8,50,2,3,3,1,1985,0
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,NA
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,NA
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,NA
