"","Release_number","interview_id","State","Family_comp_change","family_identifier","Year","head_age","head_sex","wife_age","num_child","age_youngest_child","head_marital_status","life_satisfaction","hd_employ_status","hd_occ","hd_ind","hd_hrs_work_per_week","hd_wtr_unemployed","wtr_wf","wf_occ","wf_ind","wf_wtr_unemployed","hd_housework_hrs","wf_housework_hrs","hd_wage","wf_wage","hd_health","hd_weight","hd_height","wf_health","wf_weight","wf_height","wf_race","wf_wtr_hs","wf_wtr_college","wf_highest_yr_complete","wf_religion","hd_race","hd_wtr_hs","hd_wtr_college","hd_highest_yr_complete","hd_religion","hd_change_in_marital_status","hd_edu","wf_edu","hd_adj_income"
"1157",3,3153,4,0,312,2013,61,1,59,0,0,1,2,4,0,0,0,5,1,260,856,5,6,5,0,5500,3,210,0,3,180,4,1,3,1,1,8,1,1,1,2,8,14,13,1,0
"1158",3,3913,4,1,312,2013,40,1,39,0,0,1,3,7,701,879,0,1,1,423,866,1,10,10,700,2265,2,170,10,2,135,7,1,3,1,0,0,1,1,1,3,0,15,12,1,336.251395639038
"1159",3,2549,4,2,312,2013,38,1,0,2,3,4,3,1,401,868,0,1,2,0,0,0,0,4,5000,0,3,175,0,0,0,0,0,0,0,0,0,1,1,1,1,8,13,0,3,2401.79568313599
"1160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1163",3,1524,32,4,312,2013,41,1,37,4,1,2,2,1,111,487,0,5,1,470,527,5,5,10,87000,250,2,265,11,3,225,5,1,1,1,4,0,1,1,1,2,2,14,16,5,41791.2448865662
"1164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166",3,5474,34,0,315,2013,81,2,0,0,0,3,2,4,0,0,0,5,3,0,0,0,0,3,0,0,3,160,1,0,0,0,0,0,0,0,0,1,1,5,0,1,12,0,2,0
"1167",3,4200,34,0,315,2013,58,1,0,0,0,4,2,1,874,357,0,5,2,0,0,0,0,10,76000,0,2,215,11,0,0,0,0,0,0,0,0,1,1,5,0,1,12,0,2,36507.294383667
"1168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1171",3,1201,34,4,315,2013,56,1,53,0,0,1,1,1,471,427,0,5,1,512,819,5,2,2,48000,56000,1,210,8,1,205,2,1,1,1,4,1,1,1,5,0,0,12,16,5,23057.2385581055
"1172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1174",3,3453,21,0,317,2013,90,2,0,0,0,3,0,5,0,0,0,5,3,0,0,0,0,0,0,0,4,158,2,0,0,0,0,0,0,0,0,1,3,5,0,1,8,0,2,0
"1175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1176",3,296,21,0,317,2013,41,1,36,1,5,1,2,1,220,787,0,5,1,291,749,5,6,6,49000,26000,2,225,11,2,145,11,1,1,1,5,1,1,1,1,5,1,17,17,1,23537.5976947327
"1177",3,8151,0,1,317,2013,38,2,0,0,0,4,2,6,313,819,0,5,3,0,0,0,0,4,200000,0,2,126,6,0,0,0,0,0,0,0,0,1,1,1,5,1,17,0,5,96071.8273254395
"1178",3,44,21,0,317,2013,34,1,0,0,0,2,2,1,623,856,0,5,2,0,0,0,0,5,26000,0,2,190,9,0,0,0,0,0,0,0,0,1,1,1,5,0,17,0,2,12489.3375523071
"1179",3,6462,21,1,317,2013,31,1,30,2,1,1,1,1,305,819,0,5,1,313,809,5,14,10,117000,70000,1,220,9,1,130,3,1,1,1,5,1,1,1,1,5,1,17,17,1,56202.0189853821
"1180",3,2297,21,0,317,2013,66,1,61,0,0,1,1,4,81,707,0,5,1,254,786,5,21,7,45000,22000,1,185,1,1,175,2,1,1,5,0,1,1,1,1,4,1,16,12,1,21616.1611482239
"1181",3,376,21,0,317,2013,70,1,66,0,0,1,1,4,0,0,0,5,1,220,787,5,20,7,0,15000,3,170,0,2,153,3,1,1,1,4,1,1,1,1,4,8,16,16,1,0
"1182",3,1303,21,1,317,2013,37,1,36,3,1,1,1,1,316,819,0,5,1,316,786,5,30,5,79000,33000,1,170,4,1,112,4,1,1,1,5,1,1,1,1,5,1,17,17,1,37948.3717935486
"1183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1184",3,476,21,0,317,2013,42,1,38,2,6,1,2,1,500,538,0,5,1,325,748,5,20,7,75000,92000,3,190,8,3,250,5,1,1,1,5,1,1,0,0,0,1,12,17,1,36026.9352470398
