"","Release_number","interview_id","State","Year","Family_comp_change","head_age","head_sex","wife_age","num_child","age_youngest_child","family_identifier","head_marital_status","hd_employ_status","hd_occ","hd_ind","hd_hrs_work_per_week","hd_wtr_unemployed","wtr_wf","wf_occ","wf_ind","wf_wtr_unemployed","hd_housework_hrs","wf_housework_hrs","hd_wage","wf_wage","hd_health","hd_weight","hd_height","wf_health","wf_weight","wf_height","wf_race","wf_wtr_hs","wf_wtr_college","wf_highest_yr_complete","wf_religion","hd_race","hd_wtr_hs","hd_wtr_college","hd_highest_yr_complete","hd_religion","hd_change_in_marital_status","hd_edu","wf_edu","hd_adj_income"
"4853",8,1835,16,1999,3,41,2,0,3,1,1254,5,1,363,708,0,5,3,0,0,0,0,14,51500,0,2,129,6,0,0,0,0,0,0,0,0,1,1,1,2,1,3,14,0,34103.5691530001
"4854",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4855",8,2585,16,1999,0,52,1,40,0,0,1255,1,1,245,167,0,5,1,56,588,5,10,2,85000,60000,2,215,11,2,125,6,1,1,1,4,8,1,1,1,4,1,1,16,16,56287.444233107
"4856",8,1445,16,1999,1,51,2,0,0,0,1255,4,1,184,338,0,5,3,0,0,0,0,6,38000,0,2,250,5,0,0,0,0,0,0,0,0,1,1,1,2,1,2,14,0,25163.7985983302
"4857",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4858",8,4214,16,1999,5,22,2,0,0,0,1255,2,1,245,807,0,5,3,0,0,0,0,1,10018,0,2,160,5,0,0,0,0,0,0,0,0,1,1,1,4,1,8,16,0,6633.97195679137
"4859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4861",8,3116,2,1999,0,79,2,0,0,0,1256,3,4,0,0,0,0,3,0,0,0,0,6,250,0,2,140,3,0,0,0,0,0,0,0,0,1,1,1,4,8,2,16,0,165.551306567962
"4862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4863",8,4784,46,1999,0,49,2,0,0,0,1256,4,3,394,907,0,5,3,0,0,0,0,6,20000,0,2,138,2,0,0,0,0,0,0,0,0,1,1,1,2,0,2,14,0,13244.1045254369
"4864",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4865",8,1102,46,1999,0,81,1,72,0,0,1257,1,4,0,0,0,0,1,0,0,0,15,15,0,0,1,160,8,3,180,6,1,1,5,0,1,1,1,5,0,1,1,12,12,0
"4866",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4867",8,6110,46,1999,0,72,1,69,0,0,1258,1,4,0,0,0,0,1,230,669,5,4,2,0,5000,3,150,5,4,150,6,1,1,1,4,8,1,1,1,5,8,1,17,16,0
"4868",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4869",8,3500,46,1999,0,38,1,42,3,4,1258,1,1,225,858,0,5,1,190,897,5,14,1,28000,7900,3,200,7,2,115,6,1,9,9,0,99,1,1,1,0,8,1,12,99,18541.7463356117
"4870",8,4249,51,1999,0,37,1,30,2,3,1258,1,1,600,917,0,5,1,942,857,5,15,5,32000,0,3,170,6,2,150,6,1,0,0,0,0,1,1,1,1,8,1,13,15,21190.5672406991
"4871",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4873",8,4248,46,1999,0,47,1,40,2,6,1258,1,1,202,707,0,5,1,143,857,5,5,7,104965,10698,1,160,8,1,135,2,1,1,1,4,8,1,1,1,4,8,1,16,16,69508.3715756244
"4874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4876",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4877",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4878",8,292,31,1999,0,72,2,0,0,0,1260,3,4,0,0,0,0,3,0,0,0,0,20,100,0,3,226,6,0,0,0,0,0,0,0,0,1,1,1,2,1,2,14,0,66.2205226271847
"4879",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4880",8,1001,31,1999,0,47,1,37,0,0,1260,1,1,245,68,0,5,1,376,927,5,10,1,46000,52000,3,212,11,2,130,8,1,1,1,2,8,1,1,5,0,1,1,12,14,30461.440408505
"4881",8,6006,31,1999,0,42,1,40,0,0,1260,4,1,522,69,0,5,1,5,739,1,999,10,32000,36000,2,183,2,2,160,8,1,9,9,0,99,1,1,5,0,1,1,12,99,21190.5672406991
"4882",8,798,31,1999,0,40,1,0,0,0,1260,2,1,575,747,0,5,2,0,0,0,0,10,36000,0,3,235,3,0,0,0,0,0,0,0,0,1,1,5,0,1,2,12,0,23839.3881457865
"4883",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4884",8,4887,6,1999,0,26,1,0,0,0,1260,5,1,600,917,0,5,2,0,0,0,0,10,27000,0,1,160,9,0,0,0,0,0,0,0,0,1,1,1,0,1,2,12,0,17879.5411093399
"4885",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4886",8,4608,31,1999,0,27,1,26,0,0,1260,1,1,751,68,0,5,1,394,838,5,20,10,35000,35000,2,150,6,3,120,3,1,9,9,0,99,1,3,5,0,8,1,11,99,23177.1829195147
"4887",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4888",8,6005,31,1999,0,36,1,34,1,5,1260,1,1,999,999,0,5,1,312,848,5,4,2.5,33000,18000,2,220,0,2,200,11,1,9,9,0,99,3,1,5,0,8,1,12,99,21852.772466971
"4889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4890",8,4299,32,1999,0,25,1,24,1,2,1260,1,1,473,757,0,5,1,343,848,5,20,5,35000,17000,2,170,2,2,130,2,1,1,5,0,1,1,3,5,0,1,1,9,12,23177.1829195147
"4891",8,5871,29,1999,4,49,1,48,2,12,1260,4,5,984,769,0,5,1,56,867,5,999,20,9999998,41000,2,150,7,9,999,99,9,0,0,0,99,1,1,1,4,1,5,16,99,6622050.93830802
"4892",8,1589,31,1999,4,23,1,26,1,4,1260,2,1,473,757,0,5,1,0,0,0,999,0,15000,2000,3,165,0,2,125,6,1,1,1,2,1,1,1,5,0,1,5,12,14,9933.07839407771
"4893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4894",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4895",8,5599,31,1999,0,63,1,58,0,0,1261,1,1,265,717,0,5,1,942,857,5,25,15,0,12000,3,139,6,3,110,11,1,1,1,1,1,1,1,1,5,1,1,17,13,0
"4896",8,4276,4,1999,3,34,2,0,0,0,1261,4,5,0,0,0,0,3,0,0,0,0,15,0,0,4,130,1,0,0,0,0,0,0,0,0,1,2,1,4,10,3,11,0,0
