"","ID","Release_number","interview_id","Family_comp_change","family_identifier","head_age","head_sex","wife_age","num_child","age_youngest_child","head_marital_status","hd_employ_status","hd_wtr_unemployed","hd_hrs_work_per_week","wtr_wf","wf_wtr_unemployed","wf_housework_hrs","hd_housework_hrs","wf_wage","hd_health","wf_health","wf_race","wf_wtr_hs","wf_wtr_college","wf_highest_yr_complete","wf_religion","hd_race","hd_wtr_hs","hd_wtr_college","hd_highest_yr_complete","hd_religion","hd_occ","hd_ind","wf_occ","wf_ind","hd_wage","State","hd_edu","wf_edu","hd_change_in_marital_status"
"102",102,6,515,0,11,83,1,76,0,0,1,4,0,0,1,0,12,0,0,4,3,1,1,5,0,8,1,1,1,0,8,0,0,0,0,0,4,12,12,1
"103",103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",104,6,513,2,11,41,1,0,0,0,5,1,5,45,2,0,0,15,0,2,0,0,0,0,0,0,1,1,1,0,0,52,468,0,0,46693,4,12,0,3
"105",105,6,329,0,13,66,1,64,0,0,1,4,0,0,1,0,16,8,0,2,3,1,1,5,0,8,1,3,5,0,1,0,0,0,0,0,50,10,12,1
"106",106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",109,6,330,0,13,46,1,42,2,12,1,1,5,84,1,0,60,5,0,3,3,1,1,5,0,1,1,1,1,0,8,430,49,0,0,89003,50,12,12,1
"110",110,6,334,1,13,41,1,44,0,0,4,2,1,40,1,5,15,15,20000,2,3,1,1,1,3,0,1,1,5,0,0,436,68,382,857,37001,50,12,15,1
"111",111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",112,6,2665,0,14,67,2,0,0,0,4,4,0,0,3,0,0,14,0,3,0,0,0,0,0,0,1,1,1,4,0,0,0,0,0,0,4,16,0,2
"113",113,6,3446,0,14,43,2,0,0,0,2,3,0,0,3,0,0,6,0,2,0,0,0,0,0,0,1,1,1,4,8,0,0,0,0,9923,4,16,0,2
